"C_NO","SITE_CONTENT","SITE","PET_YN"
7251,"자동차야영장사이트(15면)",15,"N"
3436,"일반야영장(200면)",200,"N"
3442,"",0,"N"
7499,"",0,"N"
8181,"일반야영장(1면) 카라반(2면)",3,"Y"
3443,"글램핑시설(14면) 카라반(5면)",19,"N"
3444,"일반야영장(24면)",24,"N"
3440,"글램핑시설(19면)",19,"N"
7435,"",0,"Y"
3485,"",0,"N"
3445,"",0,"N"
100294,"자동차야영장사이트(25면)",25,"Y"
7486,"일반야영장(14면)",14,"N"
7091,"",0,"N"
3450,"자동차야영장사이트(29면)",29,"N"
7092,"",0,"N"
100639,"자동차야영장사이트(40면) 카라반(6면)",46,"Y"
7907,"자동차야영장사이트(15면) 덤프스테이션(1기)",16,"Y"
100631,"일반야영장(29면)",29,"Y"
3457,"일반야영장(40면)",40,"Y"
3458,"일반야영장(31면) 자동차야영장사이트(2면)",33,"Y"
3461,"일반야영장(25면)",25,"Y"
8158,"",0,"N"
3465,"일반야영장(40면)",40,"Y"
7580,"일반야영장(23면) 글램핑시설(9면) 카라반(7면)",39,"Y"
7316,"일반야영장(30면)",30,"N"
